Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
53,0,6,1,14,0,29,13,2,0,0,0,2,1,0,5,0,2,2
54,3,6,3,26,2,58,6,3,2,0,1,1,3,0,3,2,0,0
54,1,5,5,12,2,53,12,4,1,1,1,2,1,0,3,0,1,0
57,3,0,6,13,2,23,6,3,2,2,1,2,5,2,2,1,2,3
32,0,4,6,24,2,42,8,2,1,3,0,2,2,2,3,1,0,2
33,0,1,2,33,2,35,15,1,1,3,1,0,1,0,5,2,2,3
30,1,3,4,4,2,39,2,5,2,0,0,0,1,0,4,0,2,4
22,1,0,0,7,0,29,9,4,0,0,0,1,2,2,3,1,0,5
35,0,6,6,11,0,37,3,4,1,3,0,2,1,1,3,0,1,0
26,2,0,5,34,0,28,10,4,2,2,1,0,5,1,4,1,2,0
47,0,3,4,25,2,31,9,5,0,0,0,0,4,1,1,0,2,3
42,1,2,6,3,0,26,14,3,1,0,0,0,2,1,2,1,2,3
60,3,6,0,34,0,46,15,2,1,1,1,2,1,2,1,0,1,1
26,1,2,2,5,1,55,6,1,1,3,1,0,4,1,1,1,0,1
30,2,6,2,8,1,47,12,3,0,2,0,1,3,2,5,1,2,5
42,0,2,1,14,2,48,13,5,0,1,1,1,4,2,5,0,2,1
53,3,0,1,7,0,49,6,5,0,0,0,2,4,1,3,0,1,3
26,3,5,5,31,2,51,4,1,0,0,0,0,2,0,3,1,1,4
26,3,1,1,17,2,57,13,2,1,0,1,2,1,1,5,1,0,4
25,2,3,4,4,1,33,14,4,1,1,1,2,1,0,2,1,2,0
33,1,3,1,14,2,30,15,2,1,1,1,1,5,0,5,1,2,2
25,2,6,3,20,1,28,4,3,1,1,0,2,3,1,2,0,0,1
22,1,2,0,5,0,31,15,3,1,1,1,2,2,1,5,0,2,3
60,3,1,0,18,1,37,0,4,1,3,0,2,2,0,2,0,2,4
56,0,0,3,9,2,31,3,4,1,2,1,1,4,1,4,2,0,0
45,2,2,1,6,1,46,3,1,1,3,0,1,3,1,2,1,2,4
60,1,4,2,32,2,20,6,2,2,0,1,0,3,0,4,2,0,4
32,1,5,5,23,0,51,8,2,2,2,1,0,3,2,1,1,1,3
25,1,4,3,6,2,28,13,2,0,0,0,2,5,2,1,1,2,2
43,3,4,4,23,0,39,4,4,1,2,0,1,4,1,1,2,1,2
50,3,5,4,25,2,29,13,1,1,1,1,2,2,2,2,2,1,4
28,3,5,6,15,0,30,14,5,2,3,1,2,2,0,1,2,2,5
23,2,2,1,29,1,53,7,3,2,2,1,0,1,2,1,0,0,5
38,3,6,4,35,0,57,10,2,1,3,0,2,3,2,3,2,0,5
42,0,4,6,27,0,49,3,5,2,2,1,2,4,1,3,0,2,1
31,2,0,4,4,0,55,8,4,2,1,0,2,1,0,2,2,2,0
28,1,4,0,25,2,37,10,5,1,2,1,2,1,1,1,1,1,3
29,0,1,5,15,2,51,5,2,2,3,1,1,2,2,1,1,1,3
27,0,6,4,21,1,21,7,5,0,3,0,2,4,0,3,2,1,1
54,1,1,2,5,1,21,10,3,2,3,0,0,4,1,4,0,0,1
42,2,2,3,33,0,44,9,4,2,1,1,1,3,2,2,1,0,3
58,3,0,2,32,1,26,10,3,2,1,1,1,5,0,2,2,2,2
26,1,6,0,15,1,43,6,4,2,3,1,1,5,0,3,0,0,0
56,0,5,6,9,1,42,14,4,0,0,1,0,2,0,5,0,2,4
50,0,5,3,20,1,44,8,4,0,3,0,2,2,0,4,1,0,1
55,3,6,5,10,0,27,0,1,0,2,0,0,1,1,1,2,0,2
22,3,1,2,26,1,43,5,1,1,0,1,1,2,0,2,2,0,5
24,1,5,4,11,2,38,0,5,2,2,1,1,5,2,2,0,0,2
53,3,4,0,23,1,38,4,4,0,1,1,1,5,0,4,1,0,4
57,1,1,6,2,0,57,4,4,1,1,0,2,4,0,2,2,1,5
22,1,2,5,9,0,60,3,1,2,3,0,0,3,1,5,2,2,3
41,0,1,1,31,0,29,0,5,1,3,0,1,3,1,5,0,0,1
46,2,1,2,34,2,54,12,4,2,1,1,0,2,1,4,0,1,0
60,2,6,2,11,0,31,11,5,2,0,0,0,2,2,4,2,1,5
44,1,6,5,2,2,54,8,5,0,3,0,0,1,1,3,0,2,1
35,0,1,0,31,1,33,11,1,2,3,0,0,5,2,5,2,0,5
48,0,5,1,32,1,25,1,4,0,3,0,1,4,2,3,2,1,3
31,3,1,0,19,0,21,15,1,0,3,0,2,4,1,5,1,2,1
53,0,6,1,12,1,45,10,2,1,0,0,0,3,1,4,1,2,5
32,3,5,5,32,0,53,5,1,1,1,0,1,5,1,1,0,0,1
33,3,3,4,9,1,46,12,1,2,3,0,1,2,2,2,1,0,5
45,3,3,1,3,1,22,9,4,2,3,0,2,4,1,4,0,2,5
50,0,2,3,18,1,60,12,4,2,1,1,1,4,1,5,0,2,5
41,1,5,2,30,1,42,2,4,0,1,1,0,4,1,3,2,1,5
43,2,1,0,18,0,60,2,3,2,3,1,1,3,2,3,1,2,3
29,3,0,1,25,0,35,14,1,1,2,1,0,4,2,2,1,2,3
44,3,2,0,27,1,44,2,2,2,2,0,0,2,1,5,2,0,0
50,3,2,0,2,2,50,2,4,1,3,0,2,1,1,2,2,0,4
36,0,1,3,4,2,22,7,5,0,3,0,2,1,2,5,1,2,1
34,1,1,2,29,1,29,13,3,2,2,1,1,5,0,5,2,1,5
49,0,0,3,30,2,34,8,5,0,3,0,0,5,0,1,2,2,5
45,1,4,6,10,2,30,7,1,0,1,1,1,1,1,5,0,0,0
45,3,1,6,21,0,53,0,3,0,0,1,0,1,2,5,1,0,0
53,1,5,0,25,2,29,5,2,2,2,0,2,5,2,3,0,0,4
29,0,4,2,35,0,27,1,3,1,2,1,2,3,0,3,2,2,3
34,3,6,3,5,0,44,14,3,1,3,0,1,5,1,3,1,2,2
58,1,1,2,25,2,42,13,2,2,3,0,1,5,1,3,1,2,0
38,1,1,5,1,1,22,4,2,1,3,1,1,5,1,3,1,1,0
40,3,6,4,27,1,34,13,2,1,0,1,0,2,0,5,1,1,5
45,3,6,5,29,0,51,13,2,2,2,0,0,2,2,5,1,1,3
43,2,4,6,18,1,48,6,5,2,1,1,2,2,0,3,0,2,0
50,0,2,0,35,0,30,10,2,2,2,1,2,3,0,1,0,2,5
58,3,3,4,14,0,59,7,2,0,0,1,1,1,1,5,2,1,2
42,2,0,5,27,2,26,14,2,2,1,1,2,1,0,4,1,1,3
53,3,1,3,27,1,60,1,3,0,3,0,1,5,0,4,0,1,3
36,1,4,6,8,0,38,2,2,1,3,1,0,2,0,1,1,2,2
51,1,6,3,21,2,34,0,5,2,0,1,0,2,0,2,0,1,0
27,1,5,4,15,0,46,12,4,1,3,0,2,2,0,2,1,0,0
22,1,3,6,21,1,35,2,3,0,0,1,0,5,0,3,0,1,4
32,1,5,2,16,2,23,9,1,1,0,0,2,5,2,5,2,2,5
32,1,4,5,26,2,28,15,5,0,3,1,1,2,0,4,2,1,5
53,0,4,6,4,0,57,10,3,1,0,0,2,4,2,2,2,2,3
26,2,4,5,29,1,29,4,1,0,0,1,0,4,1,2,2,2,0
60,0,4,3,2,1,39,1,4,1,0,0,1,5,0,2,2,0,4
51,2,4,1,26,2,46,4,5,1,3,0,1,4,0,5,0,2,4
44,0,1,0,14,2,26,9,2,2,3,0,2,4,2,5,1,2,3
48,2,3,1,10,2,32,4,4,1,0,1,2,5,1,5,2,0,4
57,2,1,2,34,2,30,11,3,2,0,0,1,3,0,5,0,0,2
49,2,6,2,11,1,48,3,5,0,2,1,0,5,1,1,2,1,1
32,2,6,2,12,0,44,13,1,2,2,1,0,1,1,5,2,0,5
49,1,6,0,29,1,49,15,5,0,3,1,0,5,2,4,0,0,1
23,1,5,5,11,1,23,0,5,2,0,0,2,2,0,1,2,0,0
55,3,5,3,3,0,33,6,5,0,3,0,2,4,1,2,1,2,2
47,2,0,2,18,2,35,15,5,2,2,0,2,4,0,2,1,1,1
48,2,4,4,5,2,41,8,3,1,1,1,0,4,1,4,2,0,0
36,3,2,0,3,1,34,12,2,0,1,0,1,4,2,3,1,1,5
45,0,5,3,14,2,44,10,1,0,2,1,2,1,0,5,1,1,2
41,1,5,1,10,0,52,8,4,2,1,1,0,3,1,4,1,2,4
50,0,5,4,17,0,57,11,2,0,3,1,0,1,0,3,2,2,4
41,1,2,4,34,2,32,15,3,2,2,1,0,2,0,3,2,1,4
57,1,5,4,20,2,31,6,4,0,3,0,2,3,1,4,1,0,4
30,0,2,0,29,1,58,15,1,1,3,0,1,2,0,2,2,0,5
23,1,1,4,31,2,26,9,1,1,1,1,2,2,0,2,0,0,1
30,0,2,4,17,2,57,5,1,0,0,1,2,2,0,4,2,1,2
47,1,6,0,31,0,20,8,1,0,0,0,0,4,2,1,0,2,2
33,3,6,3,23,1,26,0,4,2,0,0,0,1,1,2,2,1,3
32,0,1,3,21,1,43,15,3,2,1,0,2,4,2,3,2,2,2
43,0,5,5,6,0,50,14,3,0,1,1,1,1,0,3,1,1,3
43,2,2,0,14,0,52,0,5,2,3,0,1,2,1,3,2,2,4
35,1,4,1,34,1,37,1,4,1,2,0,0,2,1,1,0,1,5
40,1,1,2,24,1,38,0,3,2,0,1,2,4,2,1,0,1,5
29,3,5,4,3,1,55,11,1,2,1,0,1,1,0,2,2,0,3
24,2,1,5,5,1,53,14,1,1,0,0,1,3,2,1,2,1,5
40,0,2,0,11,0,20,13,1,1,3,0,1,5,2,1,0,2,4
22,1,2,5,10,1,46,1,2,0,2,1,1,1,2,5,1,0,5
48,2,2,2,35,0,30,8,2,0,1,1,2,3,1,2,0,1,5
60,2,2,6,27,2,50,8,2,2,2,0,2,3,1,3,1,0,1
34,3,0,0,15,2,50,13,2,1,0,1,2,3,1,2,1,1,0
50,3,6,5,10,1,50,0,1,0,3,1,1,5,1,3,1,0,0
38,0,5,6,19,2,23,7,1,0,0,0,1,4,2,3,0,0,2
36,0,1,6,33,0,45,3,4,1,1,0,0,3,0,4,0,2,0
35,2,2,3,11,1,25,4,1,1,3,0,2,4,1,3,2,2,3
25,3,5,5,35,2,36,9,2,2,0,1,1,1,2,4,2,2,2
34,2,0,2,10,0,60,3,2,0,0,1,0,3,0,5,1,2,0
32,3,6,0,12,2,35,7,3,0,2,1,2,5,1,4,1,1,0
58,3,4,5,14,1,55,12,3,1,1,0,2,5,1,4,0,2,2
40,1,6,3,31,0,47,10,1,1,0,0,0,3,2,2,2,2,0
56,1,0,0,32,1,57,10,4,2,0,0,1,4,1,4,0,2,3
44,2,0,2,17,1,22,9,2,1,0,1,0,3,0,1,0,2,3
30,2,1,1,22,2,43,5,1,1,3,1,0,5,2,2,1,0,0
49,2,4,4,29,2,45,9,5,0,0,1,0,4,0,4,2,2,3
26,0,5,0,21,0,56,14,2,0,3,1,1,4,1,1,2,1,0
52,0,1,1,22,0,46,14,3,2,1,0,2,3,2,2,1,2,5
24,3,0,5,13,1,60,0,5,1,1,0,0,1,2,2,1,2,0
40,2,5,4,12,2,32,9,1,1,1,0,2,1,0,1,0,1,1
57,2,0,5,11,1,59,13,5,1,2,1,0,5,0,4,2,1,4
23,3,2,4,17,0,60,13,5,2,0,0,2,5,2,5,1,2,4
40,3,1,1,35,1,43,4,5,2,3,0,2,2,0,3,2,1,4
45,0,1,2,15,2,33,8,1,0,3,1,2,4,1,2,0,0,2
46,1,1,3,11,1,20,14,3,0,0,0,0,5,1,2,1,1,0
37,1,2,6,16,1,27,2,1,1,2,1,2,4,0,3,2,0,2
51,1,2,0,4,0,43,1,5,1,1,0,2,4,0,2,2,1,3
52,0,3,1,29,0,23,12,2,1,1,0,0,5,2,1,1,1,3
53,0,1,2,22,0,29,0,1,1,3,0,2,4,2,4,0,2,5
39,0,3,2,7,2,47,0,2,1,0,0,0,5,2,4,0,0,2
56,1,5,0,28,0,46,12,1,0,2,1,1,3,2,5,0,2,4
59,2,4,5,13,1,40,2,1,0,0,1,0,1,2,4,2,1,3
28,0,6,6,7,2,47,0,4,2,3,1,0,1,0,3,1,0,4
36,1,1,3,3,2,53,7,3,2,3,0,0,2,0,2,1,1,3
45,2,3,2,3,1,55,14,4,1,3,0,1,4,2,1,1,1,4
52,0,3,6,2,2,40,1,2,1,2,0,0,2,2,3,2,2,1
55,1,6,1,32,1,28,8,5,0,1,0,0,2,1,1,0,0,1
58,0,3,4,18,1,39,14,3,0,3,0,2,3,2,1,2,2,3
51,3,2,1,14,0,41,5,5,1,3,0,2,4,0,2,0,2,1
52,0,1,3,5,0,21,3,5,0,3,1,1,4,1,5,1,0,4
54,2,6,1,12,0,34,11,3,0,3,1,2,2,0,5,1,2,5
35,0,5,6,2,2,36,14,3,0,3,0,0,5,0,2,2,2,0
39,0,4,5,19,2,32,2,4,2,2,1,0,1,1,4,2,1,2
47,3,3,4,7,1,21,8,2,1,2,0,2,3,0,5,0,1,5
49,0,6,5,31,0,56,3,5,2,2,1,2,1,1,4,1,0,0
60,3,4,5,33,0,58,8,4,0,3,0,2,2,1,4,0,0,2
47,1,2,5,11,0,35,8,1,2,0,0,2,2,1,4,0,2,4
27,3,6,0,22,1,52,3,1,0,2,1,0,4,1,5,2,2,0
46,3,4,4,30,2,33,8,1,0,1,0,1,3,2,4,1,1,3
25,2,2,5,22,2,47,9,2,1,3,0,0,1,2,4,0,2,0
30,0,0,2,11,0,56,13,3,1,1,0,1,4,1,4,0,0,4
38,3,1,2,35,0,33,4,2,0,2,1,1,2,2,2,1,1,0
56,1,0,2,5,2,60,9,3,0,2,0,2,1,1,4,2,1,1
42,0,3,5,23,1,32,5,4,0,3,0,2,2,0,1,2,2,3
42,3,6,6,18,1,48,9,5,1,0,0,0,1,1,5,0,2,4
30,1,0,1,20,1,39,6,4,2,0,0,1,3,2,5,0,1,1
33,0,2,4,6,0,23,6,3,2,2,1,2,5,0,2,2,2,1
28,2,4,6,29,1,38,3,3,2,2,1,0,4,1,1,0,1,5
50,2,5,5,1,2,30,5,1,0,2,0,1,2,0,2,1,1,2
44,0,2,6,4,0,35,3,1,0,0,1,1,3,2,1,2,2,5
40,1,1,0,6,2,22,0,5,1,0,1,1,4,1,4,2,1,3
23,0,6,1,8,0,28,15,2,1,1,1,1,3,1,3,2,0,1
30,1,4,4,32,0,57,4,3,1,3,0,0,3,2,5,2,2,4
42,1,0,5,10,1,48,14,2,0,3,1,0,3,1,1,2,2,0
52,0,4,6,7,0,45,14,1,1,3,0,2,5,0,4,1,1,5
37,0,4,0,29,0,34,3,4,0,3,0,0,3,1,2,2,0,4
28,3,4,5,19,1,59,9,5,0,3,0,0,1,0,2,2,0,5
31,3,2,4,18,2,31,6,3,2,0,1,1,3,2,2,2,1,1
23,3,4,6,9,0,55,12,4,0,3,0,2,2,2,5,1,0,5
37,0,1,3,18,2,23,11,2,0,3,0,2,4,0,4,0,1,4
25,0,0,0,33,1,51,7,1,1,1,0,0,2,2,1,2,1,0
55,1,2,5,13,2,32,11,5,1,1,1,2,1,1,4,1,1,0
56,2,4,1,4,2,41,14,5,0,1,1,1,4,2,1,2,2,2
51,3,2,5,24,1,46,10,1,0,0,0,2,1,2,1,1,0,3
35,0,0,2,6,0,58,15,4,2,1,0,2,3,2,2,2,0,4
22,2,3,5,2,0,59,13,2,2,3,1,1,3,1,3,2,0,2
34,2,6,2,10,2,40,1,1,1,1,0,0,5,2,4,2,2,4
37,3,3,6,32,2,56,3,2,2,3,0,0,1,2,1,2,0,0
59,3,2,3,17,0,47,11,2,2,2,1,2,1,2,3,2,0,2
53,1,6,1,25,1,38,2,2,0,2,1,1,2,1,3,0,2,3
38,0,1,0,25,2,59,12,5,0,2,0,1,3,2,1,2,1,3
32,0,6,5,17,0,47,4,1,1,0,1,1,2,0,4,0,0,4
36,3,0,5,17,2,49,6,3,1,1,0,0,5,2,5,0,1,5
29,1,6,5,18,1,20,6,5,0,0,1,2,4,1,2,2,0,5
38,2,6,5,26,1,50,9,1,2,2,1,1,2,1,2,2,2,3
32,0,6,2,21,1,32,0,4,2,1,1,2,3,0,1,2,2,4
43,3,3,1,21,1,23,8,3,0,2,1,1,3,2,3,1,1,4
46,3,0,1,25,2,22,13,3,1,2,0,1,3,0,3,2,1,5
42,3,1,2,4,1,33,11,5,1,3,1,0,2,2,2,1,2,5
27,0,6,2,25,1,32,13,3,1,3,1,0,5,0,5,2,1,4
54,3,4,6,10,0,51,0,1,1,2,0,1,2,0,2,1,1,0
43,0,5,0,34,1,49,11,3,1,3,0,0,3,1,3,0,0,4
31,1,1,2,9,2,30,9,1,1,2,0,2,1,1,3,1,1,4
53,2,2,2,11,2,25,9,2,1,3,1,1,2,2,5,2,1,1
57,2,2,5,3,0,40,12,4,2,0,0,1,3,2,3,2,0,2
50,2,6,3,20,0,32,13,1,0,3,0,2,1,2,1,0,2,1
37,0,3,2,18,0,20,15,3,1,3,0,2,1,2,2,0,1,5
58,1,6,6,8,1,35,5,5,1,1,0,0,3,2,5,1,0,1
57,2,3,5,32,2,49,2,1,1,2,0,2,4,1,5,0,1,0
50,3,3,6,21,0,34,5,4,1,1,1,2,3,1,4,2,2,0
48,0,6,5,33,1,58,13,3,1,3,0,0,3,1,5,0,1,3
43,2,0,4,15,0,26,4,4,1,2,0,0,5,0,3,0,1,3
58,1,4,6,12,0,36,7,4,1,3,0,1,3,0,3,0,0,0
30,0,5,2,32,1,48,3,4,2,1,1,1,5,2,4,1,1,5
44,2,0,3,3,0,57,5,4,2,2,1,1,5,1,5,2,2,3
41,3,0,3,28,1,32,8,2,1,1,1,2,3,1,2,1,0,4
60,1,4,0,17,2,55,7,4,1,3,1,0,1,0,4,0,0,1
58,2,5,3,35,1,28,3,3,2,1,0,0,3,2,2,0,2,1
60,3,3,4,7,0,53,10,2,0,1,0,0,2,1,3,2,0,4
27,2,5,3,34,0,36,10,4,0,1,1,2,4,1,4,1,2,0
38,1,3,5,18,2,54,7,4,2,2,0,0,4,1,1,0,1,1
56,0,4,0,8,2,33,8,3,0,3,0,1,4,2,5,0,0,1
31,0,5,3,19,0,39,1,4,1,0,1,0,2,0,4,1,0,5
37,3,2,0,25,1,33,11,1,1,2,0,2,4,1,5,0,2,2
41,1,2,2,2,1,48,4,1,0,2,1,2,3,0,1,2,1,1
58,0,5,2,10,2,60,7,5,1,1,0,2,3,1,3,1,1,0
49,0,1,1,35,2,24,1,1,1,0,0,0,5,2,4,0,2,1
23,2,1,0,18,2,28,7,5,2,3,1,1,1,0,3,0,1,1
24,2,6,5,12,1,20,14,2,0,1,0,0,2,2,2,1,0,4
41,3,6,3,35,0,28,14,4,1,2,1,0,1,0,1,2,2,1
32,1,0,4,23,2,48,12,4,1,0,0,1,5,0,2,0,2,5
47,3,3,0,10,1,51,5,2,2,0,1,0,3,2,1,0,2,5
23,2,5,1,22,1,39,5,4,0,2,0,0,5,2,2,2,0,5
34,3,4,6,14,2,25,2,4,1,2,0,2,1,2,2,0,0,2
42,0,3,1,32,1,53,12,1,2,0,0,0,4,1,3,2,1,0
42,3,0,1,10,1,44,13,4,2,3,1,0,4,2,1,0,1,1
33,1,3,2,22,1,31,3,3,1,3,1,1,4,2,3,2,0,5
40,0,5,0,3,0,58,2,5,0,1,1,0,3,1,3,2,1,1
27,0,4,0,33,1,26,5,4,0,1,0,0,5,0,4,2,1,0
39,3,1,4,33,1,20,4,3,0,0,1,0,2,1,3,0,2,2
42,1,4,1,11,1,28,14,3,0,0,0,2,1,1,2,0,0,0
22,2,3,0,7,2,35,14,5,1,3,0,2,5,2,5,0,1,1
45,1,4,3,9,2,30,14,2,0,0,0,0,4,2,2,0,2,2
47,1,1,3,6,1,28,0,1,0,0,0,0,3,1,2,0,0,4
24,2,5,6,16,2,21,4,3,1,2,1,0,5,2,3,1,1,4
48,2,0,1,2,2,56,13,2,1,1,1,0,4,0,5,1,0,0
60,2,2,6,13,1,25,10,3,2,3,0,1,3,1,2,0,2,5
41,2,2,2,20,2,21,0,1,2,0,1,2,2,2,2,2,1,3
49,3,6,6,17,2,50,2,4,1,3,1,0,5,1,5,1,1,5
27,3,1,3,16,0,50,3,5,2,3,1,2,2,0,5,2,2,0
35,3,4,5,14,1,27,10,2,0,1,1,0,4,0,5,0,1,1
23,0,2,4,3,0,31,14,4,1,1,1,1,1,1,2,2,1,2
24,3,5,3,27,1,45,11,3,0,2,1,1,3,1,4,1,2,5
41,2,3,2,25,2,23,8,2,1,0,1,2,2,1,2,1,0,5
41,3,5,1,32,0,42,14,3,0,0,1,2,3,2,1,2,2,1
43,1,1,3,16,0,37,8,1,1,0,0,0,2,2,4,2,2,4
30,2,3,1,15,0,40,7,5,0,2,1,1,2,2,1,1,2,3
44,0,0,6,26,0,23,1,3,2,1,1,0,2,1,5,2,2,5
50,0,4,2,22,2,20,3,3,1,3,1,0,1,1,4,0,0,2
48,2,5,5,16,2,51,8,5,1,2,0,1,2,2,5,2,0,1
45,0,4,1,2,0,46,1,2,0,1,1,0,3,2,1,1,2,1
60,0,0,2,6,2,37,7,2,1,2,1,1,1,0,2,2,0,0
51,3,6,2,6,0,42,4,2,0,3,0,2,1,1,5,0,1,5
48,3,0,6,4,1,53,15,4,0,0,1,2,1,2,2,2,2,0
43,1,4,4,25,1,26,0,2,0,3,1,1,4,2,3,1,0,5
23,3,4,2,31,0,48,9,3,1,0,0,1,3,0,5,0,2,3
32,0,4,2,1,0,58,0,3,0,2,1,0,4,2,5,0,0,1
44,2,0,4,29,1,52,7,1,1,3,1,1,1,0,2,1,0,1
36,1,4,3,4,1,52,13,4,2,2,0,0,3,0,1,0,2,4
50,0,5,5,2,0,49,7,2,0,0,1,0,1,1,3,1,0,4
54,2,4,4,19,1,55,4,2,2,2,0,1,5,1,4,2,0,2
54,0,5,0,13,2,33,0,2,2,1,1,1,4,1,3,2,1,4
33,3,0,0,2,0,24,12,1,2,1,1,1,1,2,4,1,0,3
47,3,3,4,31,0,21,15,5,0,1,1,1,3,0,5,0,1,2
25,3,2,2,28,2,55,12,5,0,1,0,1,3,1,3,0,2,5
38,0,3,2,25,2,44,10,5,1,1,1,0,1,1,5,1,1,0
31,1,2,5,21,0,24,7,4,1,0,1,0,5,2,4,0,2,1
58,0,4,1,11,0,25,6,2,2,2,0,1,5,0,4,1,0,4
28,3,5,2,16,1,40,0,4,2,3,1,1,2,1,3,1,2,5
54,3,3,1,32,1,59,3,2,0,2,1,1,2,1,1,2,0,1
60,1,2,1,31,0,22,9,4,2,3,1,0,1,0,2,1,0,3
38,2,5,4,4,1,47,15,5,1,0,0,1,2,2,2,1,0,2
31,1,3,3,32,1,31,15,2,0,1,0,0,1,0,1,0,2,0
42,2,5,1,2,0,41,5,5,2,0,0,2,1,2,5,2,0,3
52,1,1,5,18,2,52,0,1,2,3,1,2,2,0,2,0,2,2
41,1,0,3,6,1,48,0,2,0,3,1,0,5,1,4,0,2,1
44,0,6,3,20,0,41,14,5,1,1,1,1,1,0,3,0,0,2
42,1,1,3,15,2,21,7,3,2,3,1,2,4,1,5,0,1,3
53,0,2,0,3,1,49,15,2,0,3,0,0,2,1,4,1,0,5
52,1,2,2,29,2,32,7,4,2,1,0,0,3,0,5,0,2,2
23,2,4,2,12,2,40,12,1,1,0,1,2,1,0,3,1,1,5
24,1,3,3,23,0,22,10,4,2,3,1,2,3,0,3,2,1,5
41,3,6,4,34,1,44,9,3,0,0,1,0,2,2,5,2,2,1
60,3,0,5,16,0,41,15,1,1,0,1,0,4,0,4,2,2,5
25,3,5,5,6,2,37,11,1,2,3,1,0,3,0,2,2,1,3
55,3,0,0,18,0,54,12,3,1,2,0,1,2,2,3,0,1,2
33,2,2,6,3,0,31,3,1,0,1,0,0,2,1,2,0,2,3
43,3,1,4,14,1,53,13,2,1,1,1,0,5,0,5,2,1,5
59,0,6,2,20,2,23,13,5,1,2,1,1,4,1,3,1,1,5
48,0,3,0,2,2,58,3,1,0,1,1,1,2,1,2,0,2,3
31,2,0,3,9,2,26,7,1,0,0,0,1,2,2,2,1,2,1
28,0,5,5,23,2,46,7,3,1,0,1,0,4,0,3,1,0,1
